电影名称：肖申克的救赎   评分：9.7 
电影详情链接: https://movie.douban.com/subject/1298070/
电影名称：海豚湾   评分：9.3 
电影详情链接: https://movie.douban.com/subject/3442220/
电影名称：美国往事   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1292262/
电影名称：红辣椒   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1865703/
电影名称：七宗罪   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1292223/
电影名称：唐伯虎点秋香   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1306249/
电影名称：狩猎   评分：9.1 
电影详情链接: https://movie.douban.com/subject/6985810/
电影名称：幽灵公主   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1297359/
电影名称：寄生虫   评分：8.8 
电影详情链接: https://movie.douban.com/subject/27010768/
电影名称：甜蜜蜜   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1305164/
电影名称：天书奇谭   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1428581/
电影名称：蝙蝠侠：黑暗骑士崛起   评分：8.9 
电影详情链接: https://movie.douban.com/subject/3395373/
电影名称：超能陆战队   评分：8.8 
电影详情链接: https://movie.douban.com/subject/11026735/
电影名称：茶馆   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1461403/
电影名称：7号房的礼物   评分：8.9 
电影详情链接: https://movie.douban.com/subject/10777687/
电影名称：第六感   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1297630/
电影名称：爱在黎明破晓前   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1296339/
电影名称：爱在日落黄昏时   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1291990/
电影名称：头脑特工队   评分：8.9 
电影详情链接: https://movie.douban.com/subject/10533913/
电影名称：哈利·波特与火焰杯   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1309055/
电影名称：被嫌弃的松子的一生   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1787291/
电影名称：未麻的部屋   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1395091/
电影名称：重庆森林   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291999/
电影名称：借东西的小人阿莉埃蒂   评分：8.9 
电影详情链接: https://movie.douban.com/subject/4202302/
电影名称：菊次郎的夏天   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1293359/
电影名称：入殓师   评分：8.9 
电影详情链接: https://movie.douban.com/subject/2149806/
电影名称：剪刀手爱德华   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1292370/
电影名称：断背山   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1418834/
电影名称：勇敢的心   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1294639/
电影名称：时空恋旅人   评分：8.8 
电影详情链接: https://movie.douban.com/subject/10577869/
电影名称：傲慢与偏见   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1418200/
电影名称：驯龙高手   评分：8.8 
电影详情链接: https://movie.douban.com/subject/2353023/
电影名称：无人知晓   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1292337/
电影名称：消失的爱人   评分：8.7 
电影详情链接: https://movie.douban.com/subject/21318488/
电影名称：玩具总动员3   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1858711/
电影名称：倩女幽魂   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1297447/
电影名称：新世界   评分：8.9 
电影详情链接: https://movie.douban.com/subject/10437779/
电影名称：花样年华   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291557/
电影名称：一个叫欧维的男人决定去死   评分：8.9 
电影详情链接: https://movie.douban.com/subject/26628357/
电影名称：色，戒   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1828115/
电影名称：完美的世界   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1300992/
电影名称：怪兽电力公司   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291579/
电影名称：教父3   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1294240/
电影名称：小森林 夏秋篇   评分：9.0 
电影详情链接: https://movie.douban.com/subject/25814705/
电影名称：阳光灿烂的日子   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291875/
电影名称：天使爱美丽   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1292215/
电影名称：侧耳倾听   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1297052/
电影名称：哪吒闹海   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1307315/
电影名称：九品芝麻官   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1297518/
电影名称：被解救的姜戈   评分：8.8 
电影详情链接: https://movie.douban.com/subject/6307447/
电影名称：请以你的名字呼唤我   评分：8.8 
电影详情链接: https://movie.douban.com/subject/26799731/
电影名称：幸福终点站   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1292274/
电影名称：釜山行   评分：8.6 
电影详情链接: https://movie.douban.com/subject/25986180/
电影名称：神偷奶爸   评分：8.7 
电影详情链接: https://movie.douban.com/subject/3287562/
电影名称：小森林 冬春篇   评分：9.0 
电影详情链接: https://movie.douban.com/subject/25814707/
电影名称：喜宴   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1303037/
电影名称：萤火之森   评分：8.8 
电影详情链接: https://movie.douban.com/subject/5989818/
电影名称：告白   评分：8.8 
电影详情链接: https://movie.douban.com/subject/4268598/
电影名称：七武士   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1295399/
电影名称：玛丽和麦克斯   评分：9.0 
电影详情链接: https://movie.douban.com/subject/3072124/
电影名称：头号玩家   评分：8.6 
电影详情链接: https://movie.douban.com/subject/4920389/
电影名称：机器人之梦   评分：9.1 
电影详情链接: https://movie.douban.com/subject/35426925/
电影名称：模仿游戏   评分：8.8 
电影详情链接: https://movie.douban.com/subject/10463953/
电影名称：惊魂记   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1293181/
电影名称：大鱼   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1291545/
电影名称：心灵奇旅   评分：8.7 
电影详情链接: https://movie.douban.com/subject/24733428/
电影名称：背靠背，脸对脸   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1307856/
电影名称：你的名字。   评分：8.5 
电影详情链接: https://movie.douban.com/subject/26683290/
电影名称：血战钢锯岭   评分：8.7 
电影详情链接: https://movie.douban.com/subject/26325320/
电影名称：射雕英雄传之东成西就   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1316510/
电影名称：末路狂花   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1291992/
电影名称：我是山姆   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1306861/
电影名称：阳光姐妹淘   评分：8.8 
电影详情链接: https://movie.douban.com/subject/4917726/
电影名称：恐怖直播   评分：8.7 
电影详情链接: https://movie.douban.com/subject/21360417/
电影名称：黑客帝国3：矩阵革命   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1302467/
电影名称：高山下的花环   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1422283/
电影名称：小丑   评分：8.7 
电影详情链接: https://movie.douban.com/subject/27119724/
电影名称：谍影重重3   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1578507/
电影名称：三块广告牌   评分：8.7 
电影详情链接: https://movie.douban.com/subject/26611804/
电影名称：无间道2   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1307106/
电影名称：电锯惊魂   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1417598/
电影名称：达拉斯买家俱乐部   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1793929/
电影名称：疯狂原始人   评分：8.7 
电影详情链接: https://movie.douban.com/subject/1907966/
电影名称：绿里奇迹   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1300374/
电影名称：爱在午夜降临前   评分：8.8 
电影详情链接: https://movie.douban.com/subject/10808442/
电影名称：疯狂的石头   评分：8.6 
